
24,439,2
48,572,3
82,202,2
33,374,4
83,103,5
32,191,4
35,452,2
46,357,5
30,456,1
34,452,2
79,86,0
64,118,4
7,448,0
25,97,4
32,357,2
10,342,3
45,279,2
77,319,4
39,359,1
7,510,5
8,84,1
74,147,4
41,408,3
77,195,1
57,244,0
57,253,1
4,463,3
9,182,0
6,287,4
72,270,0
97,390,4
59,38,0
50,498,1
92,119,5
21,205,5
32,452,1
24,134,4
94,136,0
66,74,5
85,482,2
66,171,2
9,429,4
80,136,3
47,396,2
87,387,4
30,77,0
77,28,0
46,486,5
20,138,3
50,149,1
74,39,0
59,209,0
85,444,3
36,310,2
89,316,1
27,561,4
87,547,4
66,409,3
97,143,1
98,79,2
77,366,1
90,209,1
95,110,2
61,409,0
27,392,4
56,283,3
26,385,4
79,456,4
90,538,0
100,52,0
26,545,5
91,307,0
25,542,2
66,21,3
52,257,3
98,426,3
8,91,5
95,274,0
42,92,2
56,199,1
48,367,3
91,336,4
13,506,3
95,70,1
10,273,3
29,232,5
36,31,2
18,216,0
55,433,1
34,313,5
37,85,0
48,278,5
71,470,0
37,475,3
74,211,0
95,351,4
53,402,4
50,142,4
65,461,2
66,533,2
39,243,2
72,426,5
29,501,2
39,111,4
40,44,5
85,342,1
12,104,1
83,334,4
9,39,0
96,568,0
76,53,5
55,530,5
29,41,1
68,420,2
21,480,5
63,295,2
79,183,3
69,255,0
29,400,1
75,148,3
55,288,4
1,394,3
21,107,1
5,401,2
50,276,4
39,312,3
42,414,4
66,316,0
97,222,2
10,185,0
89,82,1
60,324,4
46,30,0
89,231,0
86,96,0
52,350,2
24,439,2
76,99,3
42,148,2
16,544,5
98,210,4
44,237,0
25,72,1
41,85,1
80,207,2
13,496,3
89,233,0
59,120,3
68,546,4
97,416,5
69,245,0
99,12,5
24,327,0
56,183,4
31,500,5
87,530,1
60,241,3
64,529,1
76,531,5
44,523,4
82,94,0
37,166,1
79,6,0
53,260,3
2,171,3
67,92,5
29,549,2
34,261,2
61,463,1
25,414,3
90,11,3
17,388,3
73,515,3
57,405,0
1,173,2
81,88,0
86,355,2
11,182,4
34,410,4
5,407,0
51,492,1
8,396,5
35,348,0
52,446,0
62,436,0
44,21,1
78,370,4
63,228,1
71,123,3
75,395,4
86,62,1
98,388,0
43,530,2
78,35,4
77,361,2
18,516,4
33,434,3
67,547,2
67,392,1
93,204,3
84,554,4
21,449,5
78,386,2
45,407,4
42,22,5
48,440,3
4,284,2
59,516,1
58,89,4
29,151,2
71,66,1
34,167,2
19,46,2
44,174,0
77,31,0
7,295,0
27,3,2
18,54,0
100,520,5
12,36,0
45,231,1
36,338,1
70,323,1
90,178,4
75,442,4
51,358,3
62,217,2
74,57,1
81,355,2
38,270,5
97,552,1
29,290,4
97,243,3
94,404,5
33,38,4
81,32,1
33,268,2
17,284,4
72,265,1
27,242,0
35,397,2
89,434,2
7,143,0
96,370,3
87,236,3
62,512,5
32,293,1
92,81,5
33,11,4
85,150,5
79,110,5
40,143,5
40,198,2
45,122,2
83,292,4
20,520,0
27,120,4
18,374,4
47,394,0
72,386,1
47,431,5
